created_at,entry_id,field1,field2,field3,field4,field5,field6
2018-10-25 05:08:41 UTC,30,-3.956418243408203,-0.22385785522460938,-9.624690673828123,1,2,10.408555530091245
2018-10-25 05:08:57 UTC,31,-3.904942907714844,-0.30526071166992186,-9.64623848876953,1,2,10.411132512691418
2018-10-25 05:09:14 UTC,32,-3.7409400939941406,-0.2537853759765625,-9.727641345214844,1,2,10.425259994122243
2018-10-25 05:09:30 UTC,33,-3.840299462890625,-0.29688100585937494,-9.652223992919922,1,2,10.392375392845329
2018-10-25 05:10:28 UTC,34,x,y,z,lat,long,ridescore
2018-10-25 05:10:44 UTC,35,-1.3922282653808593,-0.005985504150390619,-10.002974536132811,1,2,10.099397751336797
2018-10-25 05:11:00 UTC,36,-1.5131354492187499,-0.0035913024902343993,-10.006565838623047,1,2,10.120323693826881
2018-10-25 05:11:17 UTC,37,-1.4879963317871092,-0.0035913024902343993,-10.011354241943359,1,2,10.121331915244294
2018-10-25 05:11:33 UTC,38,-1.5478513732910155,0.03232172241210937,-10.123881719970703,1,2,10.241575545173482
2018-10-25 05:11:49 UTC,39,-1.5753846923828123,0.10055646972656251,-10.019733947753906,1,2,10.143323760798037
2018-10-25 05:12:05 UTC,40,-1.4257470886230468,0.08020575561523438,-10.109516510009765,1,2,10.209873250442971
2018-10-25 05:12:22 UTC,41,-1.6316484313964843,0.04189852905273436,-10.180145458984374,1,2,10.310159729921528
2018-10-25 05:12:38 UTC,42,-1.523909356689453,0.05027823486328126,-10.27830772705078,1,2,10.39078617623606
2018-10-25 05:12:55 UTC,43,-1.4796166259765624,0.007182604980468743,-10.293870037841796,1,2,10.399667172830947
2018-10-25 05:13:12 UTC,44,-1.3539210388183593,0.0023942016601562477,-10.29147583618164,1,2,10.380153312849822
2018-10-25 05:13:28 UTC,45,-1.3623007446289062,-0.020350714111328133,-10.147823736572263,1,2,10.238877089745769
2018-10-25 05:13:45 UTC,46,-1.3263877197265623,-0.015562310791015638,-10.141838232421875,1,2,10.228217308073418
2018-10-25 05:14:01 UTC,47,-1.254561669921875,-0.011971008300781266,-10.217255584716796,1,2,10.293997278613563
2018-10-25 05:14:18 UTC,48,-1.407790576171875,0.013168109130859362,-10.230423693847655,1,2,10.32683962599865
2018-10-25 05:14:34 UTC,49,-1.3587094421386716,0.09217676391601562,-10.285490332031248,1,2,10.375254178778999
2018-10-25 05:14:51 UTC,50,-1.332373223876953,0.07541735229492189,-10.44470474243164,1,2,10.529613636848477
2018-10-25 05:15:07 UTC,51,-1.3623007446289062,0.14245499877929685,-10.332177264404297,1,2,10.422573759324841
2018-10-25 05:15:23 UTC,52,-1.4197615844726563,0.20350714111328125,-10.321403356933594,1,2,10.42058085567923
2018-10-25 05:15:40 UTC,53,-1.4401122985839843,0.06464344482421874,-10.17056865234375,1,2,10.272223173175753
2018-10-25 05:15:56 UTC,54,-1.3718775512695311,0.08738836059570312,-10.17056865234375,1,2,10.263047863733378
