Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Light;Magnetic_x;Magnetic_y;Magnetic_z;Proximity;Latitude;Longitude;Elevation;Speed
20181024_194458;0.044;0.958;9.796;-0.014;0.020;0.050;0.0;-25.116;39.687;0.024;5.0;19.17107;72.95453;-54.9;7.1
20181024_194458;-0.008;0.652;9.978;0.002;0.004;0.045;0.0;-24.434;42.017;1.035;5.0;19.17107;72.95453;-54.9;7.1
20181024_194459;0.389;0.159;10.062;-0.008;0.013;0.039;0.0;-24.757;41.112;3.735;5.0;19.17109;72.95454;-54.8;8.7
20181024_194459;0.214;0.250;10.103;0.001;0.003;0.038;0.0;-22.694;43.651;0.615;5.0;19.17109;72.95454;-54.8;8.7
20181024_194500;0.428;-0.540;9.842;-0.029;-0.026;0.024;0.0;-23.315;43.704;3.239;5.0;19.17110;72.95455;-55.0;7.8
20181024_194500;0.205;-0.124;9.933;-0.004;0.017;0.013;0.0;-22.687;45.082;2.765;5.0;19.17110;72.95455;-55.0;7.8
20181024_194501;0.315;0.570;9.741;0.014;0.003;0.011;0.0;-19.978;41.805;3.778;5.0;19.17111;72.95456;-55.3;4.5
20181024_194501;0.305;0.671;9.696;-0.004;0.009;0.004;0.0;-21.678;42.978;1.822;5.0;19.17111;72.95456;-55.3;4.5
20181024_194502;0.353;0.693;9.796;-0.007;0.008;-0.001;0.0;-23.170;43.048;0.700;5.0;19.17112;72.95457;-55.4;2.1
20181024_194502;0.248;0.029;10.017;-0.003;0.012;0.006;0.0;-23.787;42.778;2.209;5.0;19.17112;72.95457;-55.4;2.1
20181024_194503;0.351;1.521;9.760;0.005;0.010;0.006;0.0;-23.233;44.145;-0.130;5.0;19.17112;72.95457;-53.7;0.9
20181024_194503;0.327;1.226;9.756;-0.008;0.006;0.012;0.0;-21.558;42.186;1.752;5.0;19.17112;72.95457;-53.7;0.9
20181024_194504;0.258;0.726;9.748;-0.002;0.003;0.010;0.0;-21.655;44.221;0.076;5.0;19.17112;72.95457;-53.3;1.5
20181024_194504;0.392;0.774;9.717;-0.011;-0.001;0.011;0.0;-22.566;46.178;2.870;5.0;19.17112;72.95457;-53.3;1.5
20181024_194505;0.183;1.104;9.727;-0.003;0.009;0.015;0.0;-22.935;43.512;1.216;5.0;19.17113;72.95457;-53.1;2.6
20181024_194505;0.413;0.958;9.619;0.001;0.005;-0.001;0.0;-21.860;45.192;2.333;5.0;19.17113;72.95457;-53.1;2.6
20181024_194506;0.389;0.683;9.988;0.002;0.018;-0.012;0.0;-23.764;44.640;-0.720;5.0;19.17113;72.95458;-53.1;1.7
20181024_194506;0.286;2.019;9.638;0.030;0.008;-0.014;0.0;-22.719;43.323;-1.279;5.0;19.17113;72.95458;-53.1;1.7
20181024_194507;0.056;1.305;9.978;-0.025;0.036;0.030;0.0;-21.716;44.536;-0.208;5.0;19.17114;72.95458;-53.3;2.4
20181024_194507;0.126;-0.754;9.940;-0.025;0.018;0.068;0.0;-21.786;44.717;2.290;5.0;19.17114;72.95458;-53.3;2.4
20181024_194508;0.305;0.635;9.863;0.036;0.022;0.026;0.0;-20.418;45.248;-0.880;5.0;19.17115;72.95459;-53.7;4.1
20181024_194508;0.217;0.810;9.770;-0.004;0.012;0.024;0.0;-20.085;45.239;0.214;5.0;19.17115;72.95459;-53.7;4.1
20181024_194509;0.226;1.294;9.818;0.003;0.020;0.040;0.0;-19.612;46.165;1.244;5.0;19.17115;72.95459;-53.1;2.5
20181024_194509;0.018;1.540;9.681;-0.005;0.023;0.075;0.0;-19.185;45.818;-0.172;5.0;19.17116;72.95460;-54.1;2.6
20181024_194510;0.066;1.487;9.629;-0.010;0.044;0.126;0.0;-18.140;47.333;-0.468;5.0;19.17116;72.95460;-54.1;2.6
20181024_194510;-0.118;1.226;9.861;-0.010;0.004;0.188;0.0;-13.963;47.757;1.395;5.0;19.17117;72.95460;-54.7;2.9
20181024_194511;-0.796;1.349;9.964;-0.020;0.066;0.302;0.0;-8.635;49.033;-0.511;5.0;19.17117;72.95460;-54.7;2.9
20181024_194511;-0.482;1.040;9.574;-0.011;0.047;0.332;0.0;-1.065;47.375;-0.919;5.0;19.17118;72.95460;-54.6;4.4
20181024_194512;-0.609;0.815;9.890;0.006;0.127;0.328;0.0;3.723;44.780;0.836;5.0;19.17118;72.95460;-54.6;4.4
20181024_194512;-0.063;0.482;9.696;0.013;-0.020;0.289;0.0;7.059;44.768;1.549;5.0;19.17119;72.95460;-55.9;5.7
20181024_194513;-0.518;0.671;10.062;-0.012;0.102;0.268;0.0;12.605;42.892;-0.023;5.0;19.17119;72.95460;-55.9;5.7
20181024_194513;-0.880;1.514;9.993;-0.048;0.102;0.269;0.0;18.147;37.727;-0.192;5.0;19.17121;72.95460;-55.9;5.4
20181024_194514;-0.291;2.237;9.047;-0.002;-0.039;0.202;0.0;18.535;35.515;0.854;5.0;19.17121;72.95460;-55.9;5.4
20181024_194514;-0.216;1.598;9.389;0.013;0.061;0.138;0.0;21.898;31.599;4.930;5.0;19.17122;72.95458;-56.0;6.8
20181024_194515;-0.286;1.990;9.284;0.017;0.027;-0.009;0.0;28.683;31.238;4.311;5.0;19.17122;72.95458;-56.0;6.8
20181024_194515;-0.200;1.741;9.006;-0.011;0.043;-0.006;0.0;26.198;37.970;4.399;5.0;19.17124;72.95456;-56.5;9.7
20181024_194516;-0.250;1.545;9.329;-0.011;0.027;0.012;0.0;21.249;37.282;3.732;5.0;19.17124;72.95456;-56.5;9.7
20181024_194516;-0.082;1.440;9.997;0.022;0.008;0.014;0.0;19.916;37.375;6.651;5.0;19.17125;72.95454;-56.0;10.1
20181024_194517;0.092;0.465;9.804;-0.002;-0.015;-0.025;0.0;19.371;33.444;2.858;5.0;19.17125;72.95454;-56.0;10.1
20181024_194517;0.174;0.757;10.172;0.014;-0.021;-0.030;0.0;20.531;31.659;3.346;5.0;19.17127;72.95452;-55.2;10.4
20181024_194518;-0.042;1.313;9.734;0.033;0.047;-0.100;0.0;20.622;33.235;4.581;5.0;19.17127;72.95452;-55.2;10.4
20181024_194518;0.344;0.757;9.904;-0.006;-0.025;-0.086;0.0;18.791;34.743;4.204;5.0;19.17129;72.95450;-55.6;8.5
20181024_194519;-0.401;0.968;9.523;0.004;0.007;0.038;0.0;20.778;35.736;3.886;5.0;19.17129;72.95450;-55.6;8.5
20181024_194519;0.344;1.327;9.404;0.010;0.067;0.050;0.0;18.814;34.259;2.919;5.0;19.17131;72.95449;-54.4;9.4
20181024_194520;0.037;1.289;9.236;-0.041;-0.091;0.046;0.0;20.621;33.368;1.489;5.0;19.17131;72.95449;-54.4;9.4
20181024_194520;0.040;1.023;10.158;-0.015;0.034;0.014;0.0;20.531;33.545;3.520;5.0;19.17133;72.95447;-53.8;7.9
20181024_194521;0.277;1.138;10.167;-0.022;-0.009;0.035;0.0;20.784;34.306;2.046;5.0;19.17133;72.95447;-53.8;7.9
20181024_194522;0.123;1.150;9.971;-0.004;0.014;0.024;0.0;20.924;34.003;4.350;5.0;19.17135;72.95445;-53.3;10.6
20181024_194522;-0.013;0.963;9.490;-0.003;0.024;0.034;0.0;17.383;32.451;3.177;5.0;19.17135;72.95445;-53.3;10.6
20181024_194523;0.095;0.944;9.966;-0.025;0.035;-0.005;0.0;20.531;31.659;3.346;5.0;19.17137;72.95443;-53.6;10.4
20181024_194523;0.578;0.891;9.892;-0.006;0.013;0.013;0.0;22.852;31.699;4.034;5.0;19.17137;72.95443;-53.6;10.4
20181024_194524;-0.066;1.234;9.188;0.002;-0.031;0.007;0.0;21.310;34.135;3.752;5.0;19.17139;72.95441;-54.6;10.0
20181024_194524;-0.015;1.198;9.739;-0.028;0.008;0.009;0.0;20.029;34.827;3.160;5.0;19.17139;72.95441;-54.6;10.0
20181024_194525;-0.056;0.906;9.634;-0.029;-0.008;0.008;0.0;19.231;34.854;1.279;5.0;19.17141;72.95439;-55.1;10.9
20181024_194525;0.815;0.839;10.093;0.010;0.054;-0.016;0.0;19.829;34.207;2.942;5.0;19.17141;72.95439;-55.1;10.9
20181024_194526;1.031;0.961;9.974;-0.021;-0.074;-0.034;0.0;18.633;33.481;2.531;5.0;19.17143;72.95437;-55.1;12.6
20181024_194526;0.389;0.898;9.650;-0.003;-0.016;-0.071;0.0;18.585;34.283;4.466;5.0;19.17143;72.95437;-55.1;12.6
20181024_194527;-0.085;-0.076;9.839;-0.010;0.033;0.003;0.0;17.520;36.836;2.191;5.0;19.17146;72.95434;-54.9;13.3
20181024_194527;0.236;-0.019;9.935;-0.012;0.007;0.080;0.0;20.668;34.776;1.001;5.0;19.17146;72.95434;-54.9;13.3
20181024_194528;-0.382;0.345;9.677;0.009;0.005;0.101;0.0;21.123;32.486;-7.268;5.0;19.17148;72.95431;-55.7;12.3
20181024_194528;0.557;1.018;9.308;0.017;-0.012;0.047;0.0;22.729;20.488;-3.215;5.0;19.17148;72.95431;-55.7;12.3
20181024_194529;0.226;1.085;9.976;-0.020;0.013;-0.028;0.0;19.337;26.244;6.224;5.0;19.17151;72.95429;-56.6;8.1
20181024_194529;0.535;1.339;9.873;0.003;-0.009;-0.052;0.0;20.532;33.414;6.612;5.0;19.17151;72.95429;-56.6;8.1
20181024_194530;0.071;0.977;10.098;-0.001;-0.010;-0.015;0.0;20.995;33.823;1.852;5.0;19.17152;72.95428;-57.4;7.1
20181024_194530;0.507;0.987;9.861;-0.028;0.025;-0.015;0.0;20.433;32.587;0.946;5.0;19.17152;72.95428;-57.4;7.1
20181024_194531;0.382;1.207;9.777;-0.005;0.011;-0.028;0.0;20.064;32.295;1.375;5.0;19.17154;72.95426;-57.6;6.3
20181024_194531;-0.166;1.159;10.184;-0.016;-0.018;-0.014;0.0;21.201;33.176;0.867;5.0;19.17154;72.95426;-57.6;6.3
20181024_194532;0.102;1.375;10.033;-0.010;0.024;-0.034;0.0;22.301;32.648;1.160;5.0;19.17155;72.95425;-57.8;8.3
20181024_194532;0.533;1.322;9.555;-0.003;0.018;-0.038;0.0;21.893;35.020;0.282;5.0;19.17155;72.95425;-57.8;8.3
20181024_194533;0.202;1.808;9.461;0.012;0.012;0.008;0.0;21.864;33.128;-0.670;5.0;19.17157;72.95423;-57.7;8.6
20181024_194533;0.262;1.861;9.768;-0.002;0.014;0.011;0.0;21.603;35.654;-0.908;5.0;19.17157;72.95423;-57.7;8.6
20181024_194534;0.305;0.712;10.050;0.004;-0.014;-0.013;0.0;21.361;37.241;-0.768;5.0;19.17158;72.95422;-58.0;7.1
