"","","","","",""
"20181024_194921","0.887","2.051","9.737","19.24529","73.14802"
"20181024_194922","-0.603","3.801","6.174","19.24532","73.14799"
"20181024_194922","-0.375","1.888","9.045","19.24532","73.14799"
"20181024_194923","0.762","2.206","12.623","19.24535","73.14796"
"20181024_194923","-0.365","1.872","10.841","19.24535","73.14796"
"20181024_194924","-0.31","4.046","8.289","19.24538","73.14794"
"20181024_194924","-0.601","4.053","10.493","19.24538","73.14794"
"20181024_194925","-0.651","3.111","9.467","19.2454","73.14792"
"20181024_194925","-0.486","3.125","7.815","19.2454","73.14792"
"20181024_194926","-0.536","3.587","8.469","19.24543","73.14789"
"20181024_194926","-0.174","2.365","8.744","19.24543","73.14789"
"20181024_194927","-0.537","3.26","9.112","19.24546","73.14786"
"20181024_194927","-0.673","3.094","7.447","19.24546","73.14786"
"20181024_194928","-0.251","2.65","9.765","19.2455","73.14782"
"20181024_194928","0.435","2.987","10.809","19.2455","73.14782"
"20181024_194929","-0.324","2.046","10.978","19.24554","73.14778"
"20181024_194929","0.278","1.742","8.762","19.24554","73.14778"
"20181024_194930","0.412","4.227","11.19","19.24558","73.14774"
"20181024_194931","-0.134","2.87","9.723","19.24558","73.14774"
"20181024_194931","0.203","2.98","11.889","19.24561","73.1477"
"20181024_194932","-0.119","3.305","10.717","19.24561","73.1477"
"20181024_194932","0.162","3.546","9.661","19.24565","73.14765"
"20181024_194933","-0.289","2.95","9.366","19.24565","73.14765"
"20181024_194933","0.052","2.771","7.658","19.24569","73.1476"
"20181024_194934","-0.47","3.944","6.723","19.24569","73.1476"
"20181024_194934","-0.054","3.083","7.357","19.24574","73.14755"
"20181024_194935","0.271","3.894","10.717","19.24574","73.14755"
"20181024_194935","0.024","2.507","10.015","19.24579","73.1475"
"20181024_194936","-0.252","2.917","13.241","19.24579","73.1475"
"20181024_194936","-1.585","4.51","10.148","19.24583","73.14744"
"20181024_194937","-3.777","2.797","7.894","19.24583","73.14744"
"20181024_194937","-2.744","3.185","14.94","19.24588","73.14738"
"20181024_194938","-2.65","4.517","14.104","19.24588","73.14738"
"20181024_194938","-1.135","4.329","5.776","19.24593","73.14733"
"20181024_194939","-0.675","5.146","10.658","19.24593","73.14733"
"20181024_194939","-2.306","3.736","9.36","19.24599","73.14727"
"20181024_194940","-0.488","2.674","8.604","19.24599","73.14727"
"20181024_194940","-0.687","2.799","8.732","19.24605","73.14722"
"20181024_194941","0.283","2.503","12.465","19.24605","73.14722"
"20181024_194941","-0.315","0.766","9.31","19.24609","73.14717"
"20181024_194942","0.895","0.866","10.493","19.24609","73.14717"
"20181024_194942","-0.705","1.665","9.139","19.24614","73.14712"
"20181024_194943","-1.225","0.532","9.644","19.24614","73.14712"
"20181024_194943","0.012","1.228","10.062","19.24618","73.14707"
"20181024_194944","-1.8","1.473","8.149","19.24618","73.14707"
"20181024_194944","-0.649","1.732","9.923","19.24623","73.14702"
"20181024_194945","-0.548","1.326","11.521","19.24623","73.14702"
"20181024_194945","0.774","0.217","13.924","19.24627","73.14698"
"20181024_194946","0.045","1.163","9.695","19.24631","73.14694"
"20181024_194946","0.239","0.161","9.414","19.24631","73.14694"
"20181024_194947","-0.661","2.111","7.374","19.24635","73.14689"
"20181024_194947","-0.324","-0.014","11.451","19.24635","73.14689"
"20181024_194948","-0.953","2.151","8.635","19.24639","73.14684"
"20181024_194948","-1.457","0.622","8.576","19.24639","73.14684"
"20181024_194949","-1.539","1.302","10.408","19.24642","73.1468"
"20181024_194949","-1.024","0.52","9.204","19.24642","73.1468"
"20181024_194950","-2.593","0.703","9.803","19.24644","73.14676"
"20181024_194950","-1.618","1.563","9.995","19.24644","73.14676"
"20181024_194951","-1.064","1.099","11.35","19.24647","73.14672"
"20181024_194951","-1.614","1.509","10.171","19.24647","73.14672"
"20181024_194952","-0.422","0.939","8.554","19.24649","73.14669"
"20181024_194952","-0.597","0.981","9.203","19.24649","73.14669"
"20181024_194953","-2.977","2.136","8.849","19.24651","73.14666"
"20181024_194953","-1.185","1.513","8.269","19.24651","73.14666"
"20181024_194954","-1.244","1.884","12.081","19.24652","73.14664"
"20181024_194954","-1.364","1.879","8.716","19.24652","73.14664"
"20181024_194955","-1.6","1.796","8.626","19.24652","73.14662"
"20181024_194955","-1","1.629","9.999","19.24652","73.14662"
"20181024_194956","-1.494","1.247","9.224","19.24653","73.14662"
"20181024_194956","-0.927","1.19","9.898","19.24653","73.14662"
"20181024_194957","-0.117","1.941","10.425","19.24654","73.14661"
"20181024_194957","-0.457","1.974","9.794","19.24654","73.14661"
"20181024_194958","-1.005","1.848","9.737","19.24654","73.14662"
"20181024_194958","-1.118","2.408","9.537","19.24654","73.14662"
"20181024_194959","-0.91","2.144","9.824","19.24655","73.14662"
"20181024_194959","-0.981","2.429","9.493","19.24655","73.14662"
"20181024_195000","-0.789","3.083","8.81","19.24655","73.14662"
"20181024_195001","-1.058","2.95","10.115","19.24655","73.14662"
"20181024_195001","-1.285","2.93","10.436","19.24656","73.14662"
"20181024_195002","-0.024","2.435","11.201","19.24656","73.14662"
"20181024_195002","-0.739","2.02","7.493","19.24656","73.14662"
"20181024_195003","-0.73","2.513","8.944","19.24656","73.14662"
"20181024_195003","-1.528","2.75","8.658","19.24656","73.14661"
"20181024_195004","-0.631","3.069","9.675","19.24656","73.14661"
"20181024_195004","-1.062","1.622","11.184","19.24657","73.14659"
"20181024_195005","-1.343","3.613","9.237","19.24657","73.14659"
"20181024_195005","-3.437","4.839","7.153","19.24659","73.14658"
"20181024_195006","-1.069","4.304","8.991","19.24659","73.14658"
"20181024_195006","-0.757","3.968","9.263","19.24661","73.14656"
"20181024_195007","-1.554","3.336","8.467","19.24661","73.14656"
"20181024_195007","-1.146","3.546","9.312","19.24663","73.14654"
"20181024_195008","-2.494","2.878","10.631","19.24663","73.14654"
"20181024_195008","-0.495","3.386","8.919","19.24665","73.14652"
"20181024_195009","-2.498","4.573","8.976","19.24665","73.14652"
"20181024_195009","-0.86","3.558","8.195","19.24668","73.1465"
"20181024_195010","-0.056","4.259","7.541","19.24668","73.1465"
"20181024_195010","-1.088","4.592","7.522","19.2467","73.14646"
"20181024_195011","-0.727","3.585","8.704","19.2467","73.14646"
"20181024_195011","-1.636","2.778","10.742","19.24672","73.14642"
"20181024_195012","-0.378","1.978","8.088","19.24672","73.14642"
"20181024_195012","-1.847","2.629","10.902","19.24674","73.14637"
"20181024_195013","-0.554","2.481","12.586","19.24674","73.14637"
"20181024_195013","-0.748","1.142","11.693","19.24677","73.14633"
"20181024_195014","-1.42","2.792","7.942","19.24677","73.14633"
"20181024_195014","-1.215","2.35","7.038","19.24679","73.14628"
"20181024_195015","-1.197","2.252","8.734","19.24679","73.14628"
"20181024_195015","-2.087","2.46","8.954","19.24683","73.14624"
"20181024_195016","-1.273","1.87","8.846","19.24683","73.14624"
"20181024_195016","-1.669","2.68","8.813","19.24686","73.14618"
"20181024_195017","-1.067","1.926","8.243","19.24686","73.14618"
"20181024_195017","-1.869","1.773","9.304","19.24689","73.14613"
"20181024_195018","-1.485","1.475","9.763","19.24689","73.14613"
"20181024_195018","-1.524","1.289","10.881","19.24692","73.14609"
"20181024_195019","-0.661","2.115","8.815","19.24695","73.14603"
"20181024_195019","-1.018","2.054","7.14","19.24695","73.14603"
"20181024_195020","0.081","1.945","9.869","19.24698","73.14597"
"20181024_195020","-1.37","1.307","9.855","19.24698","73.14597"
"20181024_195021","-0.542","1.564","10.072","19.24702","73.14592"
"20181024_195021","-1.499","1.804","10.412","19.24702","73.14592"
"20181024_195022","-0.73","0.664","12.054","19.24705","73.14587"
"20181024_195022","-1.136","2.065","8.589","19.24705","73.14587"
"20181024_195023","-1.358","2.333","10.47","19.2471","73.14581"
"20181024_195023","-2.038","1.081","9.293","19.2471","73.14581"
"20181024_195024","-1.669","1.24","8.685","19.24713","73.14576"
"20181024_195024","-2.388","1.329","9.916","19.24713","73.14576"
"20181024_195025","-2.203","1.197","8.37","19.24716","73.14571"
"20181024_195025","-1.072","0.887","10.062","19.24716","73.14571"
"20181024_195026","-0.816","0.138","11.115","19.24716","73.14567"
"20181024_195026","-0.922","-0.697","11.299","19.24716","73.14567"
"20181024_195027","-1.911","-0.158","9.789","19.24719","73.14563"
"20181024_195027","-2.836","0.536","7.208","19.24719","73.14563"
"20181024_195028","-0.753","0.984","7.908","19.24721","73.1456"
"20181024_195029","-3.387","1.103","11.85","19.24721","73.1456"
"20181024_195029","-1.741","1.696","9.585","19.24721","73.14558"
"20181024_195030","-1.394","2.732","7.548","19.24721","73.14558"
"20181024_195030","-1.959","2.586","8.546","19.24723","73.14556"
"20181024_195031","-0.881","3.27","7.729","19.24723","73.14556"
"20181024_195031","-0.973","3.841","10.258","19.24725","73.14553"
"20181024_195032","-0.094","3.48","9.335","19.24725","73.14553"
"20181024_195032","-0.303","2.476","9.754","19.24727","73.14551"
"20181024_195033","-0.347","1.745","8.419","19.24727","73.14551"
"20181024_195033","-0.89","3.002","9.046","19.24729","73.14547"
"20181024_195034","-0.56","1.458","10.274","19.24729","73.14547"
"20181024_195034","-1.037","0.587","12.365","19.24732","73.14543"
"20181024_195035","-1.448","0.822","8.571","19.24732","73.14543"
"20181024_195035","-1.784","0.47","9.977","19.24734","73.14539"
"20181024_195036","-1.534","0.605","14.298","19.24734","73.14539"
"20181024_195036","0.064","3.684","8.574","19.24737","73.14536"
"20181024_195037","-1.27","0.053","7.96","19.24737","73.14536"
"20181024_195037","-1.457","2.941","8.683","19.24739","73.14533"
"20181024_195038","-0.289","3.84","9.197","19.24739","73.14533"
"20181024_195038","-2.049","1.851","9.234","19.24741","73.1453"
"20181024_195039","-1.594","2.487","9.565","19.24741","73.1453"
"20181024_195039","-0.639","2.666","10.058","19.24744","73.14526"
"20181024_195040","-1.36","2.111","11.191","19.24744","73.14526"
"20181024_195040","-0.503","1.919","10.847","19.24747","73.14522"
"20181024_195041","-0.748","1.542","8.364","19.24747","73.14522"
"20181024_195041","-2.199","1.799","9.554","19.24751","73.14518"
"20181024_195042","-1.809","2.468","8.718","19.24751","73.14518"
"20181024_195042","-1.633","3.12","8.56","19.24753","73.14513"
"20181024_195043","-2.195","1.857","9.439","19.24753","73.14513"
"20181024_195043","-0.975","2.427","8.744","19.24756","73.14509"
"20181024_195044","-1.044","3.148","7.338","19.24756","73.14509"
"20181024_195044","-1.667","1.303","7.318","19.2476","73.14503"
"20181024_195045","-1.058","0.873","11.256","19.2476","73.14503"
"20181024_195045","0.677","0.582","14.975","19.24763","73.14498"
"20181024_195046","-3.731","2.272","7.199","19.24763","73.14498"
"20181024_195046","-0.222","3.805","6.526","19.24767","73.14493"
"20181024_195047","-0.567","1.071","11.378","19.24767","73.14493"
"20181024_195047","-0.922","2.501","9.363","19.24771","73.14487"
"20181024_195048","-1.225","2.268","9.533","19.24771","73.14487"
"20181024_195048","-1.421","1.296","9.11","19.24775","73.14481"
"20181024_195049","-1.408","2.148","6.375","19.24779","73.14475"
"20181024_195049","-2.354","1.732","10.663","19.24779","73.14475"
"20181024_195050","-0.771","1.059","7.983","19.24782","73.14469"
"20181024_195050","-0.63","1.203","10.843","19.24782","73.14469"
"20181024_195051","-0.73","1.888","10.407","19.24787","73.14464"
"20181024_195051","-1.345","2.091","9.836","19.24787","73.14464"
"20181024_195052","-0.191","1.38","9.679","19.2479","73.14458"
"20181024_195052","-1.242","1.7","8.052","19.2479","73.14458"
"20181024_195053","-2.407","2.317","8.37","19.24795","73.14451"
"20181024_195053","-1.851","2.658","8.159","19.24795","73.14451"
"20181024_195054","-0.348","1.943","11.529","19.24799","73.14446"
"20181024_195054","-0.6","1.453","6.81","19.24799","73.14446"
"20181024_195055","-2.28","2.838","8.17","19.24803","73.1444"
"20181024_195055","-1.337","1.866","11.535","19.24803","73.1444"
"20181024_195056","-1.518","0.73","8.477","19.24807","73.14434"
"20181024_195056","-1.024","2.227","9.377","19.24807","73.14434"
"20181024_195057","-0.643","2.426","8.846","19.24813","73.14428"
"20181024_195058","0.462","-0.19","13.044","19.24813","73.14428"
"20181024_195058","-1.927","-0.977","8.935","19.24817","73.14421"
"20181024_195059","-2.225","-0.754","11.69","19.24817","73.14421"
"20181024_195059","-0.089","0.122","9.688","19.24821","73.14416"
"20181024_195100","-2.008","0.013","12.021","19.24821","73.14416"
"20181024_195100","-1.063","1.368","9.543","19.24824","73.14412"
"20181024_195101","-1.581","1.83","7.658","19.24824","73.14412"
"20181024_195101","-0.734","1.408","6.896","19.24827","73.14407"
"20181024_195102","-1.635","1.862","9.226","19.24827","73.14407"
"20181024_195102","-2.172","2.374","9.136","19.2483","73.14403"
"20181024_195103","-1.419","0.721","10.051","19.2483","73.14403"
"20181024_195103","-1.123","1.083","8.099","19.24833","73.14398"
"20181024_195104","0.137","0.364","10.439","19.24833","73.14398"
"20181024_195104","-0.961","1.143","8.927","19.24836","73.14394"
"20181024_195105","-0.747","1.404","8.653","19.24836","73.14394"
"20181024_195105","-1.755","-0.037","7.737","19.24838","73.14391"
"20181024_195106","-1.861","2.967","7.032","19.24838","73.14391"
"20181024_195106","0.683","2.753","8.943","19.24841","73.14388"
"20181024_195107","-0.922","1.754","10.088","19.24841","73.14388"
"20181024_195107","-0.473","1.677","9.268","19.24844","73.14385"
"20181024_195108","0.182","2.263","9.699","19.24844","73.14385"
"20181024_195108","-2.105","2.575","8.619","19.24845","73.14383"
"20181024_195109","-0.965","2.465","7.581","19.24845","73.14383"
"20181024_195109","-1.602","1.866","11.736","19.24848","73.14379"
"20181024_195110","-1.552","1.917","15.561","19.24848","73.14379"
"20181024_195110","-2.689","2.315","15.524","19.24851","73.14376"
"20181024_195111","-0.907","2.797","11.006","19.24851","73.14376"
"20181024_195111","-1.581","2.823","8.776","19.24854","73.14371"
"20181024_195112","-3.029","2.135","7.175","19.24854","73.14371"
"20181024_195112","-0.385","3.323","9.143","19.24858","73.14366"
"20181024_195113","-0.606","3.634","8.923","19.24858","73.14366"
"20181024_195113","-1.085","2.644","12.105","19.24863","73.1436"
"20181024_195114","-0.929","2.997","12.189","19.24863","73.1436"
"20181024_195114","-1.102","2.939","8.809","19.24866","73.14355"
"20181024_195115","-2.806","3.059","6.893","19.24866","73.14355"
"20181024_195115","-0.816","2.503","8.404","19.24871","73.14349"
"20181024_195116","-0.789","1.236","15.089","19.24871","73.14349"
"20181024_195116","-1.893","2.454","11.176","19.24875","73.14342"
"20181024_195117","-0.346","1.226","12.575","19.24875","73.14342"
"20181024_195117","-1.159","1.729","8.301","19.24879","73.14336"
"20181024_195118","-1.595","2.606","7.97","19.24879","73.14336"
"20181024_195118","-1.543","1.632","8.343","19.24882","73.14329"
"20181024_195119","-0.948","1.368","10.001","19.24882","73.14329"
"20181024_195119","-1.524","1.769","8.225","19.24886","73.14322"
"20181024_195120","-1.367","2.034","7.276","19.24886","73.14322"
"20181024_195120","-0.777","2.747","8.007","19.24891","73.14315"
"20181024_195121","0.869","1.617","10.733","19.24891","73.14315"
