"","","","","",""
"20181024_194527","0.236","-0.019","9.935","19.17146","72.95434"
"20181024_194528","-0.382","0.345","9.677","19.17148","72.95431"
"20181024_194528","0.557","1.018","9.308","19.17148","72.95431"
"20181024_194529","0.226","1.085","9.976","19.17151","72.95429"
"20181024_194529","0.535","1.339","9.873","19.17151","72.95429"
"20181024_194530","0.071","0.977","10.098","19.17152","72.95428"
"20181024_194530","0.507","0.987","9.861","19.17152","72.95428"
"20181024_194531","0.382","1.207","9.777","19.17154","72.95426"
"20181024_194531","-0.166","1.159","10.184","19.17154","72.95426"
"20181024_194532","0.102","1.375","10.033","19.17155","72.95425"
"20181024_194532","0.533","1.322","9.555","19.17155","72.95425"
"20181024_194533","0.202","1.808","9.461","19.17157","72.95423"
"20181024_194533","0.262","1.861","9.768","19.17157","72.95423"
"20181024_194534","0.305","0.712","10.05","19.17158","72.95422"
"20181024_194534","0.614","0.245","10.596","19.1716","72.9542"
"20181024_194535","0.272","-1.158","9.981","19.1716","72.9542"
"20181024_194535","-0.027","-1.852","10.124","19.17162","72.95418"
"20181024_194536","0.14","-0.981","10.086","19.17162","72.95418"
"20181024_194536","0.155","0.805","9.77","19.17163","72.95417"
"20181024_194537","0.133","0.635","9.799","19.17163","72.95417"
"20181024_194537","0.126","0.733","9.729","19.17164","72.95416"
"20181024_194538","0.174","0.891","9.799","19.17164","72.95416"
"20181024_194538","0.222","0.851","9.883","19.17164","72.95416"
"20181024_194539","0.176","0.827","9.796","19.17164","72.95416"
"20181024_194539","0.097","0.805","9.892","19.17163","72.95417"
"20181024_194540","0.095","1.475","9.38","19.17163","72.95417"
"20181024_194540","0.262","1.564","9.871","19.17163","72.95417"
"20181024_194541","0.183","2.06","10.203","19.17163","72.95417"
"20181024_194541","-0.26","2.251","10.072","19.17163","72.95417"
"20181024_194542","-0.109","1.471","9.413","19.17163","72.95417"
"20181024_194542","0.243","1.1","9.569","19.17163","72.95417"
"20181024_194543","0.145","0.877","9.751","19.17163","72.95417"
"20181024_194543","-0.161","1.258","9.48","19.17163","72.95417"
"20181024_194544","0.583","1.363","10.005","19.17163","72.95417"
"20181024_194544","0.018","1.363","9.89","19.17164","72.95415"
"20181024_194545","0.205","0.896","10.141","19.17164","72.95415"
"20181024_194545","-0.348","-0.325","10.352","19.17166","72.95412"
"20181024_194546","-0.185","-0.665","10.141","19.17166","72.95412"
"20181024_194546","-0.116","0.388","9.945","19.17168","72.9541"
"20181024_194547","-0.319","1.188","9.897","19.17168","72.9541"
"20181024_194547","0.155","1.499","9.483","19.1717","72.95407"
"20181024_194548","-0.063","1.313","9.423","19.1717","72.95407"
"20181024_194548","-0.2","1.286","9.337","19.17171","72.95405"
"20181024_194549","-0.307","1.03","9.37","19.17171","72.95405"
"20181024_194549","-0.08","0.86","9.763","19.17173","72.95403"
"20181024_194550","0.389","0.525","9.777","19.17173","72.95403"
"20181024_194550","-0.094","0.927","9.784","19.17174","72.95401"
"20181024_194551","0.21","0.97","9.677","19.17174","72.95401"
"20181024_194551","0.219","0.841","9.619","19.17175","72.95399"
"20181024_194552","0.092","1.784","9.471","19.17175","72.95399"
"20181024_194553","0.044","1.997","9.552","19.17176","72.95397"
"20181024_194553","-0.063","0.671","9.816","19.17176","72.95397"
"20181024_194554","0.116","1.018","9.775","19.17178","72.95395"
"20181024_194554","0.315","-0.071","9.892","19.17178","72.95395"
"20181024_194555","0.181","-0.308","9.839","19.1718","72.95392"
"20181024_194555","0.361","0.369","9.902","19.1718","72.95392"
"20181024_194556","0.126","0.46","9.799","19.17181","72.9539"
"20181024_194556","0.188","0.554","9.691","19.17181","72.9539"
"20181024_194557","0.243","0.776","9.729","19.17181","72.95389"
"20181024_194557","0.401","0.855","9.703","19.17181","72.95389"
"20181024_194558","0.262","0.769","9.756","19.17182","72.95388"
"20181024_194558","0.353","0.817","9.576","19.17182","72.95388"
"20181024_194559","0.428","1.159","9.607","19.17182","72.95387"
"20181024_194559","0.368","0.841","10.036","19.17182","72.95387"
"20181024_194600","0.406","0.944","9.574","19.17183","72.95387"
"20181024_194600","0.229","0.626","9.713","19.17183","72.95387"
"20181024_194601","0.282","0.602","9.686","19.17183","72.95386"
"20181024_194601","0.191","0.436","9.832","19.17183","72.95386"
"20181024_194602","0.236","-0.224","10.026","19.17184","72.95386"
"20181024_194602","0.368","0.87","9.842","19.17184","72.95386"
"20181024_194603","0.293","0.865","9.861","19.17184","72.95386"
"20181024_194603","0.217","0.886","9.895","19.17184","72.95386"
"20181024_194604","0.32","1.121","9.909","19.17184","72.95386"
"20181024_194604","0.344","1.042","9.854","19.17184","72.95386"
"20181024_194605","0.284","0.681","9.816","19.17184","72.95386"
"20181024_194605","0.361","0.76","9.804","19.17184","72.95386"
"20181024_194606","0.346","1.717","9.842","19.17184","72.95386"
"20181024_194606","0.262","0.614","9.662","19.17185","72.95386"
"20181024_194607","0.289","0.676","9.789","19.17185","72.95386"
"20181024_194607","0.226","0.709","9.792","19.17185","72.95385"
"20181024_194608","0.344","0.652","9.895","19.17185","72.95385"
"20181024_194608","0.358","0.597","9.899","19.17185","72.95385"
"20181024_194609","0.387","2.055","9.6","19.17185","72.95385"
"20181024_194609","0.334","1.684","9.777","19.17185","72.95385"
"20181024_194610","-0.312","2.256","9.169","19.17185","72.95385"
"20181024_194610","0.262","2.287","9.772","19.17186","72.95385"
"20181024_194611","0.047","2.189","9.389","19.17186","72.95385"
"20181024_194611","-0.303","0.688","9.658","19.17187","72.95384"
"20181024_194612","0.325","1.332","9.971","19.17187","72.95384"
"20181024_194612","0.021","0.36","10.11","19.17189","72.95382"
"20181024_194613","0.298","0.805","9.389","19.17189","72.95382"
"20181024_194613","0.293","0.707","9.547","19.17191","72.9538"
"20181024_194614","0.607","0.558","9.837","19.17191","72.9538"
"20181024_194614","0.49","1.526","10.098","19.17193","72.95377"
"20181024_194615","0.27","0.848","9.528","19.17193","72.95377"
"20181024_194615","0.044","0.673","9.737","19.17196","72.95375"
"20181024_194616","0.408","0.479","9.27","19.17196","72.95375"
"20181024_194616","0.88","0.585","9.646","19.17198","72.95373"
"20181024_194617","0.796","0.611","9.552","19.17198","72.95373"
"20181024_194617","0.332","0.705","9.674","19.172","72.95371"
"20181024_194618","0.375","-0.062","10.069","19.172","72.95371"
"20181024_194618","0.607","0.75","9.861","19.17202","72.95369"
"20181024_194619","0.258","1.152","9.617","19.17202","72.95369"
"20181024_194619","0.475","1.921","9.938","19.17204","72.95368"
"20181024_194620","0.282","0.757","9.966","19.17204","72.95368"
"20181024_194621","-0.147","0.705","9.679","19.17206","72.95367"
"20181024_194621","0.001","0.379","10.098","19.17206","72.95367"
"20181024_194622","-0.477","-1.304","10.29","19.17207","72.95365"
"20181024_194622","0.155","-1.249","10.172","19.17207","72.95365"
"20181024_194623","0.143","0.585","9.844","19.17209","72.95364"
"20181024_194623","0.097","0.657","9.789","19.17209","72.95364"
"20181024_194624","0.116","0.705","9.789","19.17209","72.95364"
"20181024_194624","0.097","0.791","9.696","19.17209","72.95364"
"20181024_194625","0.09","0.836","9.756","19.17209","72.95364"
"20181024_194625","0.112","0.803","9.624","19.17209","72.95364"
"20181024_194626","0.009","0.805","9.993","19.17208","72.95364"
"20181024_194626","0.131","0.858","9.674","19.17208","72.95364"
"20181024_194627","0.078","0.824","9.751","19.17208","72.95364"
"20181024_194627","0.016","0.748","9.95","19.17208","72.95364"
"20181024_194628","0.035","0.745","9.875","19.17208","72.95365"
"20181024_194628","0.018","0.875","9.686","19.17208","72.95365"
"20181024_194629","0.114","0.86","9.772","19.17208","72.95365"
"20181024_194629","0.095","1.48","9.586","19.17208","72.95365"
"20181024_194630","0.112","1.289","9.751","19.17208","72.95365"
"20181024_194630","0.059","1.023","9.827","19.17208","72.95365"
"20181024_194631","-0.087","0.764","9.844","19.17208","72.95365"
"20181024_194631","-0.02","0.484","9.816","19.17208","72.95365"
"20181024_194632","0.018","0.681","9.799","19.17208","72.95364"
"20181024_194632","0.078","0.798","9.844","19.17208","72.95364"
"20181024_194633","-0.027","0.52","9.748","19.17208","72.95364"
"20181024_194633","0.073","1.097","9.638","19.17209","72.95364"
"20181024_194634","0.128","0.709","9.796","19.17209","72.95364"
"20181024_194634","0.054","0.709","9.89","19.17209","72.95364"
"20181024_194635","0.073","0.717","9.751","19.17209","72.95364"
"20181024_194635","0.037","0.728","9.832","19.17209","72.95364"
"20181024_194636","0.147","0.798","9.66","19.17209","72.95364"
"20181024_194636","0.183","1.437","9.77","19.1721","72.95364"
"20181024_194637","0.138","0.621","9.677","19.1721","72.95364"
"20181024_194637","0.04","0.685","9.71","19.1721","72.95364"
"20181024_194638","0.08","0.752","9.926","19.1721","72.95364"
"20181024_194638","0.107","0.819","9.741","19.1721","72.95364"
"20181024_194639","0.131","0.922","9.696","19.1721","72.95364"
"20181024_194639","0.047","0.815","9.859","19.1721","72.95364"
"20181024_194640","0.056","0.951","9.658","19.1721","72.95364"
"20181024_194640","0.013","0.934","9.698","19.1721","72.95364"
"20181024_194641","0.095","1.164","9.507","19.1721","72.95364"
"20181024_194641","0.066","0.86","9.638","19.17211","72.95364"
"20181024_194642","-0.106","1.255","9.976","19.17211","72.95364"
"20181024_194642","-0.19","0.508","9.744","19.17211","72.95364"
"20181024_194643","0.25","0.659","9.806","19.17211","72.95364"
"20181024_194643","0.021","-0.27","10.053","19.17211","72.95364"
"20181024_194644","0.133","0.623","9.921","19.17211","72.95364"
"20181024_194644","0.095","0.637","9.933","19.17211","72.95364"
"20181024_194645","0.049","0.788","9.808","19.17211","72.95364"
"20181024_194645","0.162","0.647","9.801","19.17211","72.95364"
"20181024_194646","0.152","0.86","9.816","19.17211","72.95364"
"20181024_194646","0.121","0.855","9.851","19.17211","72.95364"
"20181024_194647","0.169","0.985","9.732","19.17211","72.95364"
"20181024_194647","0.155","0.927","10.1","19.17211","72.95364"
"20181024_194648","0.076","0.898","9.722","19.17211","72.95364"
"20181024_194648","0.092","0.728","10.062","19.17211","72.95364"
"20181024_194649","0.15","0.906","9.768","19.17211","72.95364"
"20181024_194649","0.126","0.827","9.564","19.17211","72.95364"
"20181024_194650","0.224","1.059","9.753","19.17211","72.95364"
"20181024_194650","0.198","1.042","9.77","19.17211","72.95364"
"20181024_194651","0.123","1.162","9.71","19.17211","72.95364"
"20181024_194652","0.198","1.203","9.734","19.17211","72.95364"
"20181024_194652","0.064","0.776","9.902","19.17211","72.95364"
"20181024_194653","0.262","0.908","9.588","19.17212","72.95363"
"20181024_194653","0.152","0.678","9.729","19.17212","72.95363"
"20181024_194654","0.123","0.728","9.763","19.17212","72.95363"
"20181024_194654","0.088","0.673","9.725","19.17212","72.95363"
"20181024_194655","0.088","0.685","9.737","19.17212","72.95363"
"20181024_194655","0.222","1.899","9.756","19.17212","72.95363"
"20181024_194656","0.246","1.119","9.727","19.17212","72.95363"
"20181024_194656","0.224","0.551","9.916","19.17212","72.95363"
"20181024_194657","-0.207","1.088","9.818","19.17213","72.95363"
"20181024_194657","0.358","0.642","9.744","19.17213","72.95363"
"20181024_194658","0.176","0.633","9.794","19.17214","72.95362"
"20181024_194658","0.205","0.561","9.804","19.17214","72.95362"
"20181024_194659","0.224","0.575","9.777","19.17214","72.95362"
"20181024_194659","0.226","0.69","9.782","19.17214","72.95362"
"20181024_194700","0.198","1.545","9.746","19.17215","72.95361"
"20181024_194700","0.377","1.93","9.768","19.17215","72.95361"
"20181024_194701","0.296","1.442","9.72","19.17215","72.95361"
"20181024_194701","0.198","1.626","9.935","19.17215","72.95361"
"20181024_194702","-0.202","2.227","10.902","19.17215","72.95361"
"20181024_194702","0.044","2.005","9.265","19.17216","72.9536"
"20181024_194703","0.018","1.183","9.638","19.17216","72.9536"
"20181024_194703","0.255","1.645","9.284","19.17217","72.95358"
"20181024_194704","0.305","1.495","9.619","19.17217","72.95358"
"20181024_194704","0.286","0.7","9.681","19.17219","72.95356"
"20181024_194705","0.511","0.35","10.234","19.17219","72.95356"
